"% A copy of PLT_DOC_Micro dataset from Meta album Set2"
"@RELATION Meta_Album_PLT_DOC_Micro"
""
"@ATTRIBUTE FILE_NAME STRING"
"@ATTRIBUTE CATEGORY STRING"
"@ATTRIBUTE SUPER_CATEGORY REAL"
""
"@DATA"
"9348.jpg,'Tomato Early blight leaf',?"
"8391.jpg,'Tomato leaf yellow virus',?"
"7495.jpg,'Strawberry leaf',?"
"13327.jpg,'Potato leaf early blight',?"
"17030.jpg,'Bell_pepper leaf',?"
"8090.jpg,'Tomato leaf bacterial spot',?"
"6995.jpg,'Tomato leaf',?"
"15593.jpg,'Tomato leaf mosaic virus',?"
"19565.jpg,'Tomato Early blight leaf',?"
"1927.jpg,'Bell_pepper leaf',?"
"9836.jpg,'Tomato leaf bacterial spot',?"
"19864.jpg,'Blueberry leaf',?"
"4805.jpg,'Corn Gray leaf spot',?"
"2831.jpg,'Tomato leaf yellow virus',?"
"12022.jpg,'Tomato leaf',?"
"1711.jpg,'Tomato leaf mosaic virus',?"
"18949.jpg,'Corn rust leaf',?"
"7947.jpg,'Strawberry leaf',?"
"3571.jpg,'Blueberry leaf',?"
"9709.jpg,'Tomato mold leaf',?"
"5628.jpg,'Tomato leaf yellow virus',?"
"7391.jpg,'grape leaf black rot',?"
"3580.jpg,'Tomato leaf yellow virus',?"
"7396.jpg,'Bell_pepper leaf spot',?"
"3336.jpg,'Tomato leaf',?"
"1098.jpg,'Tomato leaf mosaic virus',?"
"12049.jpg,'Corn rust leaf',?"
"18803.jpg,'Tomato leaf mosaic virus',?"
"12148.jpg,'Tomato leaf mosaic virus',?"
"7618.jpg,'Tomato mold leaf',?"
"15602.jpg,'Corn Gray leaf spot',?"
"7895.jpg,'Apple rust leaf',?"
"9482.jpg,'Strawberry leaf',?"
"9005.jpg,'grape leaf black rot',?"
"8465.jpg,'Peach leaf',?"
"2290.jpg,'grape leaf black rot',?"
"12316.jpg,'Corn Gray leaf spot',?"
"15202.jpg,'Corn leaf blight',?"
"8288.jpg,'Tomato leaf yellow virus',?"
"8277.jpg,'Corn leaf blight',?"
"7323.jpg,'Tomato mold leaf',?"
"6592.jpg,'Tomato Early blight leaf',?"
"12994.jpg,'Tomato mold leaf',?"
"18297.jpg,'Tomato Septoria leaf spot',?"
"11367.jpg,'grape leaf black rot',?"
"9219.jpg,'Strawberry leaf',?"
"8489.jpg,'Tomato mold leaf',?"
"4533.jpg,'Peach leaf',?"
"12829.jpg,'Tomato Septoria leaf spot',?"
"16726.jpg,'Blueberry leaf',?"
"19713.jpg,'Tomato Early blight leaf',?"
"18831.jpg,'Corn rust leaf',?"
"13400.jpg,'Tomato Septoria leaf spot',?"
"10900.jpg,'Apple rust leaf',?"
"9846.jpg,'grape leaf black rot',?"
"5416.jpg,'Tomato leaf yellow virus',?"
"8650.jpg,'Corn rust leaf',?"
"5545.jpg,'Blueberry leaf',?"
"18589.jpg,'Tomato leaf',?"
"9715.jpg,'Tomato mold leaf',?"
"13348.jpg,'Potato leaf early blight',?"
"5411.jpg,'Peach leaf',?"
"18303.jpg,'Blueberry leaf',?"
"6663.jpg,'Tomato mold leaf',?"
"1911.jpg,'Tomato Early blight leaf',?"
"8016.jpg,'Tomato Septoria leaf spot',?"
"15753.jpg,'Apple leaf',?"
"18791.jpg,'Bell_pepper leaf spot',?"
"16047.jpg,'Peach leaf',?"
"18972.jpg,'Tomato Septoria leaf spot',?"
"1840.jpg,'Apple leaf',?"
"6940.jpg,'Tomato Early blight leaf',?"
"3048.jpg,'grape leaf black rot',?"
"18028.jpg,'Blueberry leaf',?"
"16962.jpg,'Tomato Septoria leaf spot',?"
"18468.jpg,'Corn Gray leaf spot',?"
"5565.jpg,'Bell_pepper leaf',?"
"19553.jpg,'grape leaf black rot',?"
"6838.jpg,'Apple leaf',?"
"16206.jpg,'Tomato Septoria leaf spot',?"
"17314.jpg,'Tomato mold leaf',?"
"4045.jpg,'Bell_pepper leaf',?"
"15941.jpg,'Tomato Early blight leaf',?"
"17853.jpg,'Strawberry leaf',?"
"12165.jpg,'Corn rust leaf',?"
"15571.jpg,'Tomato leaf',?"
"17612.jpg,'Tomato leaf bacterial spot',?"
"18873.jpg,'Apple leaf',?"
"15541.jpg,'Tomato leaf mosaic virus',?"
"19227.jpg,'Strawberry leaf',?"
"10974.jpg,'Tomato mold leaf',?"
"11692.jpg,'Apple leaf',?"
"8556.jpg,'Tomato Septoria leaf spot',?"
"10692.jpg,'Tomato leaf mosaic virus',?"
"7734.jpg,'Apple rust leaf',?"
"9182.jpg,'Strawberry leaf',?"
"11666.jpg,'Tomato leaf',?"
"4099.jpg,'Tomato leaf yellow virus',?"
"3657.jpg,'Peach leaf',?"
"15999.jpg,'Strawberry leaf',?"
"11590.jpg,'Strawberry leaf',?"
"8678.jpg,'Potato leaf late blight',?"
"16825.jpg,'Tomato leaf',?"
"1377.jpg,'Corn rust leaf',?"
"18226.jpg,'Tomato leaf bacterial spot',?"
"18767.jpg,'Peach leaf',?"
"1655.jpg,'Potato leaf early blight',?"
"12807.jpg,'Tomato leaf yellow virus',?"
"14725.jpg,'Potato leaf early blight',?"
"12657.jpg,'Potato leaf early blight',?"
"2643.jpg,'Apple leaf',?"
"4947.jpg,'Bell_pepper leaf',?"
"18952.jpg,'Potato leaf early blight',?"
"3789.jpg,'Corn leaf blight',?"
"14766.jpg,'Tomato mold leaf',?"
"4572.jpg,'Bell_pepper leaf spot',?"
"12915.jpg,'Tomato mold leaf',?"
"7262.jpg,'Potato leaf late blight',?"
"13423.jpg,'Apple leaf',?"
"5553.jpg,'Blueberry leaf',?"
"19528.jpg,'Bell_pepper leaf spot',?"
"2472.jpg,'Tomato Septoria leaf spot',?"
"19813.jpg,'Bell_pepper leaf spot',?"
"2743.jpg,'Tomato leaf yellow virus',?"
"19851.jpg,'Tomato leaf mosaic virus',?"
"6337.jpg,'Tomato leaf bacterial spot',?"
"9575.jpg,'Blueberry leaf',?"
"16405.jpg,'Potato leaf early blight',?"
"16491.jpg,'Tomato leaf',?"
"15309.jpg,'Bell_pepper leaf',?"
"17617.jpg,'Tomato Septoria leaf spot',?"
"9681.jpg,'Potato leaf late blight',?"
"17842.jpg,'Peach leaf',?"
"12431.jpg,'Apple rust leaf',?"
"4711.jpg,'Blueberry leaf',?"
"1745.jpg,'Tomato Early blight leaf',?"
"12429.jpg,'Tomato leaf bacterial spot',?"
"7761.jpg,'Tomato leaf mosaic virus',?"
"2917.jpg,'Tomato Septoria leaf spot',?"
"8558.jpg,'Tomato Septoria leaf spot',?"
"19136.jpg,'Corn leaf blight',?"
"9452.jpg,'Tomato Septoria leaf spot',?"
"6232.jpg,'Peach leaf',?"
"14858.jpg,'Tomato Septoria leaf spot',?"
"13719.jpg,'Peach leaf',?"
"9158.jpg,'Tomato leaf bacterial spot',?"
"7338.jpg,'grape leaf black rot',?"
"18804.jpg,'Corn leaf blight',?"
"10723.jpg,'Corn rust leaf',?"
"7225.jpg,'grape leaf black rot',?"
"13962.jpg,'Apple leaf',?"
"12143.jpg,'Peach leaf',?"
"17573.jpg,'Tomato leaf yellow virus',?"
"6724.jpg,'grape leaf black rot',?"
"6904.jpg,'Tomato leaf bacterial spot',?"
"9881.jpg,'Apple leaf',?"
"18176.jpg,'Potato leaf early blight',?"
"8878.jpg,'Strawberry leaf',?"
"12209.jpg,'Tomato Early blight leaf',?"
"17654.jpg,'Strawberry leaf',?"
"2816.jpg,'Tomato mold leaf',?"
